GFN Account Number;Account Name;Account Owner;Accounting Clerk: Accounting Clerk Code;Banding;Legal Entity;Market Segment / Characteristics;Sales Rep Code;GFN Status
AB10000569;Trans1359 Ltd;Michael Brown;8L;Bronze;Unlimited;Education;50088055;Blocked
AB10000570;Ship4698 Ltd;Sophie Green;1E;Platinum;Ltd;Retail;50045920;Blocked
AB10000571;Trans8901 Ltd;Alice Thompson;8L;Bronze;CIC;Technology;50098043;Blocked
AB10000572;Move1398 Ltd;Alice Thompson;5I;Platinum;Ltd;Wholesale;50047472;Blocked
AB10000573;Ship1780 Ltd;Michael Brown;4H;Silver;LLP;Healthcare;50040512;Active
AB10000574;Trans8163 Ltd;Daniel Smith;7K;Gold;Ltd;Wholesale;50019243;Blocked
AB10000575;Ship9809 Ltd;Gerard van Herpen;2F;Gold;Ltd;Education;50085501;Active
AB10000576;Trans9527 Ltd;Gerard van Herpen;9M;Silver;CIC;Finance;50061806;Blocked
AB10000577;Ship8733 Ltd;Emily Lewis;5I;Bronze;Ltd;Technology;50012863;Blocked
AB10000578;Move8262 Ltd;Olivia Davis;6J;Bronze;CIC;Healthcare;50077173;Active
AB10000579;Move6882 Ltd;Olivia Davis;5I;Platinum;PLC;Retail;50028012;Blocked
AB10000580;Move2568 Ltd;Alice Thompson;3G;Silver;PLC;Healthcare;50036297;Active
AB10000581;Ship6319 Ltd;Emma Johnson;8L;Platinum;CIC;Wholesale;50067235;Active
AB10000582;Ship5547 Ltd;Daniel Smith;4H;Bronze;PLC;Manufacturing;50011549;Blocked
AB10000583;Trans7705 Ltd;Sophie Green;2F;Gold;LLP;Education;50068681;Active
AB10000584;Ship4922 Ltd;Alice Thompson;8L;Platinum;Ltd;Education;50061472;Active
AB10000585;Ship8897 Ltd;Sophie Green;4H;Silver;LLP;Finance;50078245;Active
AB10000586;Carry3589 Ltd;Emily Lewis;6J;Bronze;PLC;Manufacturing;50084297;Blocked
AB10000587;Ship8865 Ltd;Sophie Green;2F;Platinum;Ltd;Technology;50091087;Blocked
AB10000588;Trans9932 Ltd;Emily Lewis;0N;Gold;Unlimited;Finance;50042449;Active
AB10000589;Ship8810 Ltd;William Clark;6J;Gold;CIC;Finance;50001906;Blocked
AB10000590;Move6611 Ltd;Alice Thompson;1E;Gold;Ltd;Manufacturing;50083041;Active
AB10000591;Carry8624 Ltd;Sophie Green;3G;Platinum;PLC;Finance;50011214;Blocked
AB10000592;Carry3111 Ltd;Alice Thompson;7K;Bronze;CIC;Manufacturing;50036393;Active
AB10000593;Move8638 Ltd;Olivia Davis;9M;Platinum;LLP;Finance;50025052;Active
AB10000594;Move7352 Ltd;James White;5I;Gold;LLP;Wholesale;50051329;Blocked
AB10000595;Carry4686 Ltd;Emma Johnson;2F;Gold;LLP;Education;50022747;Active
AB10000596;Move1612 Ltd;Alice Thompson;6J;Bronze;Ltd;Manufacturing;50051682;Blocked
AB10000597;Move4413 Ltd;Olivia Davis;9M;Silver;CIC;Retail;50074793;Active
AB10000598;Trans5954 Ltd;Sophie Green;3G;Platinum;Unlimited;Wholesale;50029325;Active
AB10000599;Ship7591 Ltd;William Clark;1E;Gold;Ltd;Wholesale;50001005;Active
AB10000600;Carry9249 Ltd;Olivia Davis;8L;Platinum;CIC;Technology;50004511;Blocked
AB10000601;Ship4287 Ltd;Emma Johnson;0N;Gold;CIC;Wholesale;50096359;Blocked
AB10000602;Move3028 Ltd;Emily Lewis;0N;Gold;PLC;Retail;50032154;Active
AB10000603;Carry4498 Ltd;Daniel Smith;9M;Gold;Unlimited;Energy;50062198;Blocked
AB10000604;Carry9508 Ltd;Alice Thompson;6J;Platinum;LLP;Retail;50048610;Blocked
AB10000605;Ship9890 Ltd;Daniel Smith;7K;Platinum;Ltd;Education;50093042;Active
AB10000606;Trans6469 Ltd;Daniel Smith;4H;Bronze;PLC;Technology;50037094;Blocked
AB10000607;Trans6869 Ltd;Emily Lewis;3G;Platinum;CIC;Wholesale;50022952;Active
AB10000608;Move1778 Ltd;Michael Brown;8L;Platinum;Ltd;Wholesale;50037861;Active
AB10000609;Move9130 Ltd;Gerard van Herpen;4H;Silver;PLC;Retail;50006292;Blocked
AB10000610;Move3517 Ltd;Michael Brown;9M;Bronze;CIC;Energy;50066216;Blocked
AB10000611;Ship6257 Ltd;William Clark;5I;Silver;LLP;Manufacturing;50010032;Active
AB10000612;Trans9703 Ltd;Gerard van Herpen;5I;Bronze;Ltd;Healthcare;50071112;Blocked
AB10000613;Carry7967 Ltd;Sophie Green;4H;Platinum;LLP;Wholesale;50057713;Blocked
AB10000614;Carry4798 Ltd;Olivia Davis;9M;Silver;LLP;Healthcare;50054398;Blocked
AB10000615;Carry7292 Ltd;Gerard van Herpen;7K;Bronze;Ltd;Technology;50048215;Blocked
AB10000616;Move7456 Ltd;Daniel Smith;8L;Silver;Ltd;Finance;50032418;Active
AB10000617;Ship9627 Ltd;Daniel Smith;6J;Bronze;LLP;Retail;50000730;Blocked
AB10000618;Trans2730 Ltd;William Clark;0N;Platinum;PLC;Wholesale;50057186;Blocked
AB10000619;Move4214 Ltd;Michael Brown;8L;Bronze;Unlimited;Education;50027622;Blocked
AB10000620;Ship7921 Ltd;Michael Brown;4H;Gold;Ltd;Finance;50002810;Active
AB10000621;Trans9568 Ltd;Olivia Davis;3G;Platinum;CIC;Technology;50005704;Active
AB10000622;Carry8430 Ltd;Alice Thompson;7K;Platinum;PLC;Finance;50029390;Active
AB10000623;Move7346 Ltd;Gerard van Herpen;9M;Platinum;CIC;Energy;50044906;Blocked
AB10000624;Carry6129 Ltd;William Clark;2F;Platinum;LLP;Wholesale;50087035;Blocked
AB10000625;Trans3032 Ltd;Sophie Green;7K;Bronze;Unlimited;Technology;50040315;Blocked
AB10000626;Trans1527 Ltd;Michael Brown;5I;Silver;LLP;Finance;50084050;Active
AB10000627;Move9137 Ltd;William Clark;0N;Gold;CIC;Retail;50006225;Blocked
AB10000628;Carry4972 Ltd;Gerard van Herpen;6J;Gold;CIC;Manufacturing;50015301;Blocked
AB10000629;Trans3834 Ltd;Gerard van Herpen;1E;Silver;Ltd;Education;50066684;Active
AB10000630;Trans7798 Ltd;Olivia Davis;2F;Platinum;Unlimited;Manufacturing;50094722;Active
AB10000631;Move8690 Ltd;Emma Johnson;7K;Platinum;LLP;Wholesale;50098586;Active
AB10000632;Trans1693 Ltd;Gerard van Herpen;3G;Gold;PLC;Technology;50030521;Active
AB10000633;Move2453 Ltd;Gerard van Herpen;6J;Gold;PLC;Wholesale;50067253;Active
AB10000634;Move3305 Ltd;William Clark;9M;Gold;PLC;Wholesale;50022765;Active
AB10000635;Ship3229 Ltd;Sophie Green;1E;Platinum;LLP;Finance;50099025;Blocked
AB10000636;Ship7442 Ltd;Sophie Green;3G;Silver;CIC;Healthcare;50071144;Blocked
AB10000637;Trans6106 Ltd;William Clark;0N;Bronze;CIC;Healthcare;50023483;Blocked
AB10000638;Trans1550 Ltd;Michael Brown;2F;Gold;Ltd;Manufacturing;50028865;Active
AB10000639;Trans4303 Ltd;William Clark;0N;Silver;CIC;Energy;50017868;Active
AB10000640;Trans8627 Ltd;Michael Brown;9M;Bronze;LLP;Retail;50051237;Active
AB10000641;Carry8447 Ltd;Emma Johnson;5I;Silver;Ltd;Energy;50077873;Blocked
AB10000642;Trans8961 Ltd;Daniel Smith;6J;Silver;CIC;Finance;50071675;Blocked
AB10000643;Trans4657 Ltd;Gerard van Herpen;5I;Platinum;PLC;Technology;50037424;Active
AB10000644;Carry5542 Ltd;Michael Brown;0N;Bronze;Unlimited;Technology;50014990;Active
AB10000645;Ship6985 Ltd;Emma Johnson;1E;Platinum;Unlimited;Retail;50033823;Blocked
AB10000646;Trans6051 Ltd;Michael Brown;9M;Gold;Ltd;Manufacturing;50011277;Active
AB10000647;Ship9449 Ltd;Sophie Green;8L;Platinum;Unlimited;Manufacturing;50040703;Active
AB10000648;Move3245 Ltd;Gerard van Herpen;4H;Silver;Unlimited;Energy;50049565;Blocked
AB10000649;Move4385 Ltd;Sophie Green;4H;Bronze;CIC;Manufacturing;50061837;Active
AB10000650;Carry9334 Ltd;Olivia Davis;5I;Gold;Unlimited;Finance;50012842;Blocked
AB10000651;Carry6363 Ltd;Daniel Smith;9M;Silver;Unlimited;Wholesale;50067268;Blocked
AB10000652;Trans8812 Ltd;Daniel Smith;2F;Gold;PLC;Wholesale;50014401;Active
AB10000653;Trans6103 Ltd;Michael Brown;3G;Bronze;CIC;Technology;50096750;Active
AB10000654;Trans5494 Ltd;Emily Lewis;0N;Gold;LLP;Technology;50034049;Active
AB10000655;Ship9071 Ltd;Emma Johnson;0N;Platinum;Unlimited;Energy;50016385;Blocked
AB10000656;Move6439 Ltd;Daniel Smith;0N;Bronze;Unlimited;Manufacturing;50095346;Blocked
AB10000657;Ship1598 Ltd;Olivia Davis;1E;Gold;Ltd;Manufacturing;50082434;Blocked
AB10000658;Move3168 Ltd;Michael Brown;5I;Bronze;PLC;Education;50000376;Active
AB10000659;Move9393 Ltd;Emma Johnson;0N;Gold;Ltd;Retail;50081956;Active
AB10000660;Move3583 Ltd;William Clark;8L;Bronze;PLC;Manufacturing;50000643;Active
AB10000661;Trans1526 Ltd;Emily Lewis;3G;Silver;Ltd;Wholesale;50009888;Active
AB10000662;Move5605 Ltd;James White;9M;Bronze;CIC;Technology;50028513;Blocked
AB10000663;Ship7954 Ltd;Alice Thompson;0N;Gold;Ltd;Manufacturing;50011738;Blocked
AB10000664;Carry2642 Ltd;William Clark;2F;Gold;Unlimited;Manufacturing;50001370;Active
AB10000665;Move8035 Ltd;Sophie Green;6J;Bronze;LLP;Technology;50041979;Active
AB10000666;Carry3554 Ltd;Daniel Smith;4H;Bronze;Unlimited;Energy;50034742;Blocked
AB10000667;Move5973 Ltd;Gerard van Herpen;7K;Bronze;Unlimited;Energy;50062318;Active
AB10000668;Carry4691 Ltd;Sophie Green;5I;Silver;PLC;Healthcare;50049406;Blocked
AB10000669;Carry9221 Ltd;Daniel Smith;2F;Platinum;PLC;Retail;50083951;Active
AB10000670;Ship1909 Ltd;Alice Thompson;1E;Silver;Ltd;Technology;50027902;Blocked
AB10000671;Ship1951 Ltd;Alice Thompson;4H;Silver;PLC;Retail;50010359;Blocked
AB10000672;Carry2966 Ltd;James White;4H;Platinum;Ltd;Education;50053719;Blocked
AB10000673;Move5115 Ltd;James White;9M;Platinum;LLP;Healthcare;50044749;Blocked
AB10000674;Carry5771 Ltd;James White;9M;Gold;CIC;Healthcare;50066736;Blocked
AB10000675;Carry9492 Ltd;James White;4H;Silver;PLC;Wholesale;50099657;Active
AB10000676;Carry1275 Ltd;Daniel Smith;8L;Platinum;LLP;Energy;50006884;Blocked
AB10000677;Carry6579 Ltd;James White;8L;Gold;CIC;Technology;50092667;Blocked
AB10000678;Trans7295 Ltd;Michael Brown;3G;Gold;LLP;Energy;50093505;Blocked
AB10000679;Trans1710 Ltd;Daniel Smith;8L;Bronze;LLP;Energy;50052225;Active
AB10000680;Move5589 Ltd;William Clark;3G;Platinum;PLC;Retail;50019162;Blocked
AB10000681;Ship7989 Ltd;William Clark;5I;Gold;CIC;Technology;50056948;Active
AB10000682;Carry9969 Ltd;Emma Johnson;5I;Silver;LLP;Energy;50067933;Blocked
AB10000683;Carry5881 Ltd;Alice Thompson;3G;Silver;LLP;Technology;50003155;Blocked
AB10000684;Trans2945 Ltd;Emma Johnson;2F;Silver;LLP;Energy;50037312;Active
AB10000685;Trans9406 Ltd;Emily Lewis;2F;Platinum;PLC;Finance;50073313;Active
AB10000686;Ship3077 Ltd;Emma Johnson;2F;Platinum;CIC;Healthcare;50009429;Active
AB10000687;Trans9976 Ltd;James White;6J;Bronze;PLC;Retail;50016766;Active
AB10000688;Ship2696 Ltd;Sophie Green;3G;Gold;PLC;Finance;50084197;Active
AB10000689;Ship7761 Ltd;Alice Thompson;8L;Silver;PLC;Energy;50069508;Blocked
AB10000690;Ship2337 Ltd;Gerard van Herpen;9M;Platinum;CIC;Energy;50087804;Blocked
AB10000691;Ship3810 Ltd;Olivia Davis;9M;Silver;CIC;Healthcare;50074216;Blocked
AB10000692;Carry1292 Ltd;Olivia Davis;5I;Bronze;CIC;Retail;50033026;Blocked
AB10000693;Ship7226 Ltd;James White;6J;Bronze;CIC;Technology;50076012;Active
AB10000694;Carry9036 Ltd;James White;1E;Bronze;PLC;Education;50019578;Blocked
AB10000695;Trans3844 Ltd;Emily Lewis;6J;Gold;LLP;Education;50091982;Blocked
AB10000696;Move3402 Ltd;Alice Thompson;8L;Bronze;LLP;Finance;50083784;Blocked
AB10000697;Move4365 Ltd;Michael Brown;5I;Platinum;Ltd;Retail;50062707;Active
AB10000698;Ship8175 Ltd;Olivia Davis;0N;Platinum;LLP;Energy;50029550;Blocked
AB10000699;Carry7041 Ltd;James White;3G;Platinum;PLC;Wholesale;50021464;Blocked
AB10000700;Ship9229 Ltd;Olivia Davis;2F;Gold;Ltd;Healthcare;50019844;Blocked
AB10000701;Carry9787 Ltd;James White;3G;Gold;Ltd;Healthcare;50004839;Active
AB10000702;Trans6452 Ltd;James White;8L;Platinum;Unlimited;Energy;50051187;Blocked
AB10000703;Carry7109 Ltd;Alice Thompson;7K;Platinum;Ltd;Technology;50004190;Active
AB10000704;Ship1278 Ltd;Emily Lewis;3G;Silver;Ltd;Education;50062512;Active
AB10000705;Move8829 Ltd;Olivia Davis;9M;Silver;Ltd;Energy;50084450;Blocked
AB10000706;Carry3605 Ltd;Daniel Smith;0N;Platinum;CIC;Education;50065290;Active
AB10000707;Carry7760 Ltd;Sophie Green;8L;Platinum;Ltd;Retail;50067928;Blocked
AB10000708;Move1215 Ltd;Gerard van Herpen;1E;Silver;Ltd;Healthcare;50047402;Active
AB10000709;Trans1413 Ltd;James White;9M;Bronze;PLC;Energy;50078541;Blocked
AB10000710;Trans8779 Ltd;Daniel Smith;5I;Gold;CIC;Healthcare;50066768;Blocked
AB10000711;Carry9470 Ltd;William Clark;3G;Silver;Ltd;Manufacturing;50085595;Active
AB10000712;Move9505 Ltd;Sophie Green;3G;Bronze;Ltd;Energy;50009035;Blocked
AB10000713;Ship9774 Ltd;Emma Johnson;5I;Bronze;PLC;Finance;50033794;Blocked
AB10000714;Carry1248 Ltd;Alice Thompson;8L;Gold;Ltd;Retail;50038669;Active
AB10000715;Move7978 Ltd;William Clark;5I;Silver;PLC;Wholesale;50043753;Active
AB10000716;Ship7518 Ltd;Olivia Davis;6J;Bronze;CIC;Finance;50073973;Active
AB10000717;Trans3184 Ltd;Emma Johnson;2F;Gold;LLP;Healthcare;50033376;Blocked
AB10000718;Trans4983 Ltd;Emma Johnson;1E;Gold;LLP;Finance;50022921;Active
AB10000719;Ship1566 Ltd;William Clark;2F;Platinum;Ltd;Education;50092064;Active
AB10000720;Carry1554 Ltd;James White;7K;Bronze;LLP;Manufacturing;50099237;Active
AB10000721;Trans1730 Ltd;Sophie Green;5I;Platinum;Unlimited;Finance;50054755;Blocked
AB10000722;Move5144 Ltd;Emily Lewis;5I;Bronze;LLP;Manufacturing;50019831;Blocked
AB10000723;Trans5951 Ltd;William Clark;7K;Silver;PLC;Retail;50000081;Blocked
AB10000724;Trans1762 Ltd;William Clark;6J;Silver;CIC;Retail;50089335;Blocked
AB10000725;Carry1749 Ltd;Gerard van Herpen;8L;Silver;PLC;Healthcare;50045070;Active
AB10000726;Ship8487 Ltd;Michael Brown;9M;Bronze;LLP;Finance;50070567;Active
AB10000727;Trans7844 Ltd;Emma Johnson;4H;Bronze;Unlimited;Healthcare;50081100;Active
AB10000728;Trans5576 Ltd;Olivia Davis;1E;Silver;LLP;Healthcare;50010265;Blocked
AB10000729;Carry6913 Ltd;James White;8L;Silver;Ltd;Healthcare;50082438;Blocked
AB10000730;Move9985 Ltd;Sophie Green;7K;Platinum;PLC;Finance;50091072;Blocked
AB10000731;Move1913 Ltd;Alice Thompson;8L;Silver;LLP;Retail;50058104;Active
AB10000732;Carry3126 Ltd;Daniel Smith;6J;Gold;PLC;Energy;50085898;Active
AB10000733;Trans3332 Ltd;Gerard van Herpen;2F;Gold;Ltd;Technology;50016092;Active
AB10000734;Move6182 Ltd;William Clark;2F;Bronze;LLP;Technology;50012403;Blocked
AB10000735;Ship4407 Ltd;Daniel Smith;1E;Gold;Unlimited;Finance;50019934;Active
AB10000736;Move5086 Ltd;Michael Brown;8L;Bronze;Ltd;Healthcare;50028033;Active
AB10000737;Carry4231 Ltd;James White;9M;Bronze;CIC;Healthcare;50006082;Active
AB10000738;Trans7923 Ltd;Gerard van Herpen;8L;Gold;Unlimited;Education;50097623;Active
AB10000739;Ship7055 Ltd;Daniel Smith;1E;Gold;CIC;Retail;50088029;Active
AB10000740;Move4505 Ltd;William Clark;3G;Gold;LLP;Finance;50051217;Blocked
AB10000741;Carry7286 Ltd;Alice Thompson;1E;Platinum;Unlimited;Wholesale;50097362;Active
AB10000742;Carry4452 Ltd;Alice Thompson;3G;Platinum;PLC;Technology;50007005;Blocked
AB10000743;Ship5238 Ltd;Daniel Smith;2F;Silver;PLC;Education;50038394;Active
AB10000744;Move9499 Ltd;Daniel Smith;6J;Silver;Ltd;Education;50053723;Active
AB10000745;Trans2793 Ltd;Daniel Smith;3G;Silver;CIC;Retail;50046814;Blocked
AB10000746;Move7756 Ltd;Emma Johnson;7K;Bronze;Ltd;Technology;50085874;Active
AB10000747;Trans3878 Ltd;Alice Thompson;2F;Gold;CIC;Wholesale;50086609;Blocked
AB10000748;Trans4436 Ltd;William Clark;1E;Bronze;LLP;Energy;50072755;Blocked
AB10000749;Ship6632 Ltd;Alice Thompson;2F;Bronze;Ltd;Technology;50075675;Blocked
AB10000750;Carry3553 Ltd;Olivia Davis;7K;Platinum;PLC;Manufacturing;50010795;Active
AB10000751;Trans6884 Ltd;William Clark;2F;Gold;CIC;Finance;50013587;Active
AB10000752;Ship6452 Ltd;Alice Thompson;5I;Bronze;PLC;Healthcare;50018394;Active
AB10000753;Move1862 Ltd;James White;3G;Bronze;CIC;Wholesale;50050257;Active
AB10000754;Carry2107 Ltd;Emily Lewis;5I;Bronze;Unlimited;Manufacturing;50062793;Blocked
AB10000755;Move1808 Ltd;Michael Brown;2F;Gold;PLC;Manufacturing;50006395;Active
AB10000756;Carry9040 Ltd;James White;9M;Bronze;PLC;Education;50099709;Active
AB10000757;Move3723 Ltd;Emma Johnson;6J;Silver;LLP;Healthcare;50001928;Blocked
AB10000758;Trans6089 Ltd;Michael Brown;4H;Platinum;LLP;Wholesale;50050618;Blocked
AB10000759;Trans9890 Ltd;Michael Brown;0N;Silver;CIC;Retail;50034424;Active
AB10000760;Trans9181 Ltd;Olivia Davis;9M;Silver;PLC;Healthcare;50032118;Active
AB10000761;Carry8405 Ltd;Gerard van Herpen;1E;Bronze;Ltd;Technology;50007582;Blocked
AB10000762;Move3740 Ltd;Sophie Green;7K;Gold;Ltd;Manufacturing;50026697;Active
AB10000763;Trans4427 Ltd;Michael Brown;7K;Gold;CIC;Healthcare;50004642;Active
AB10000764;Move1850 Ltd;James White;5I;Gold;Unlimited;Education;50049415;Active
AB10000765;Carry3682 Ltd;William Clark;2F;Silver;Unlimited;Manufacturing;50033945;Blocked
AB10000766;Ship2674 Ltd;Daniel Smith;5I;Bronze;PLC;Healthcare;50035667;Blocked
AB10000767;Ship8625 Ltd;Michael Brown;2F;Silver;LLP;Education;50050119;Blocked
AB10000768;Move1247 Ltd;Gerard van Herpen;4H;Platinum;Ltd;Technology;50005084;Blocked
AB10000769;Trans5462 Ltd;Sophie Green;5I;Platinum;CIC;Education;50037953;Blocked
AB10000770;Move7752 Ltd;Olivia Davis;8L;Silver;PLC;Education;50062216;Blocked
AB10000771;Carry8194 Ltd;Olivia Davis;9M;Bronze;Unlimited;Manufacturing;50043853;Active
AB10000772;Trans1336 Ltd;Daniel Smith;6J;Platinum;CIC;Finance;50091110;Blocked
AB10000773;Trans2677 Ltd;Emma Johnson;6J;Silver;LLP;Healthcare;50051745;Active
AB10000774;Carry7872 Ltd;Alice Thompson;8L;Bronze;PLC;Education;50039205;Active
AB10000775;Carry7848 Ltd;Sophie Green;9M;Bronze;CIC;Healthcare;50069012;Active
AB10000776;Ship7383 Ltd;Sophie Green;1E;Bronze;Ltd;Healthcare;50000160;Active
AB10000777;Move8935 Ltd;Emma Johnson;1E;Gold;PLC;Energy;50096406;Blocked
AB10000778;Ship6859 Ltd;Emily Lewis;2F;Silver;CIC;Healthcare;50011245;Blocked
AB10000779;Carry3851 Ltd;Sophie Green;2F;Bronze;LLP;Education;50063129;Blocked
AB10000780;Move8545 Ltd;Daniel Smith;5I;Silver;LLP;Education;50035452;Blocked
AB10000781;Carry4503 Ltd;William Clark;9M;Platinum;Unlimited;Retail;50033965;Blocked
AB10000782;Carry4226 Ltd;Olivia Davis;4H;Gold;PLC;Manufacturing;50035669;Active
AB10000783;Move3121 Ltd;Sophie Green;4H;Silver;LLP;Healthcare;50019996;Blocked
AB10000784;Ship3881 Ltd;Emma Johnson;0N;Silver;PLC;Retail;50016593;Active
AB10000785;Trans3266 Ltd;Michael Brown;9M;Platinum;LLP;Wholesale;50029460;Blocked
AB10000786;Trans1068 Ltd;Alice Thompson;4H;Bronze;CIC;Manufacturing;50077896;Blocked
AB10000787;Trans8157 Ltd;Sophie Green;0N;Bronze;CIC;Energy;50057704;Blocked
AB10000788;Move9452 Ltd;Sophie Green;3G;Platinum;CIC;Healthcare;50091054;Blocked
AB10000789;Move1666 Ltd;Sophie Green;8L;Bronze;Unlimited;Retail;50060739;Blocked
AB10000790;Move1080 Ltd;James White;2F;Silver;PLC;Wholesale;50019553;Active
AB10000791;Ship8356 Ltd;Gerard van Herpen;9M;Gold;Unlimited;Finance;50094543;Active
AB10000792;Ship6445 Ltd;Daniel Smith;6J;Bronze;CIC;Education;50016372;Active
AB10000793;Ship8353 Ltd;Emma Johnson;4H;Gold;Ltd;Healthcare;50090633;Blocked
AB10000794;Trans5589 Ltd;Michael Brown;5I;Silver;LLP;Wholesale;50068255;Blocked
AB10000795;Ship5226 Ltd;Emily Lewis;2F;Silver;CIC;Finance;50079537;Active
AB10000796;Move9115 Ltd;James White;9M;Platinum;PLC;Healthcare;50042802;Blocked
AB10000797;Carry2569 Ltd;Michael Brown;6J;Gold;Unlimited;Energy;50050592;Blocked
AB10000798;Ship8091 Ltd;William Clark;5I;Platinum;LLP;Education;50065845;Blocked
AB10000799;Carry3234 Ltd;William Clark;5I;Bronze;PLC;Retail;50010712;Active
AB10000800;Trans2239 Ltd;Sophie Green;0N;Silver;CIC;Technology;50070811;Active
AB10000801;Trans9499 Ltd;William Clark;3G;Platinum;Ltd;Finance;50022396;Blocked
AB10000802;Carry9760 Ltd;Gerard van Herpen;5I;Silver;PLC;Retail;50072477;Blocked
AB10000803;Trans9798 Ltd;Olivia Davis;7K;Platinum;CIC;Education;50056997;Blocked
AB10000804;Carry9163 Ltd;Emily Lewis;2F;Platinum;PLC;Wholesale;50005630;Blocked
AB10000805;Move6026 Ltd;Emily Lewis;0N;Platinum;CIC;Education;50058403;Blocked
AB10000806;Move5789 Ltd;Emily Lewis;5I;Silver;LLP;Education;50049596;Active
AB10000807;Move2104 Ltd;Daniel Smith;4H;Platinum;Unlimited;Retail;50077182;Active
AB10000808;Trans2265 Ltd;Emma Johnson;9M;Bronze;LLP;Finance;50051656;Active
AB10000809;Trans2792 Ltd;Alice Thompson;4H;Silver;LLP;Manufacturing;50079542;Active
AB10000810;Trans9915 Ltd;Gerard van Herpen;0N;Silver;PLC;Energy;50063492;Blocked
AB10000811;Ship5420 Ltd;Alice Thompson;6J;Bronze;Ltd;Finance;50026305;Blocked
AB10000812;Move5733 Ltd;William Clark;2F;Gold;LLP;Energy;50071511;Blocked
AB10000813;Trans9070 Ltd;Emily Lewis;4H;Bronze;LLP;Retail;50058599;Active
AB10000814;Trans5228 Ltd;Emma Johnson;4H;Bronze;Unlimited;Healthcare;50039856;Active
AB10000815;Carry6841 Ltd;Emma Johnson;3G;Bronze;LLP;Wholesale;50056810;Blocked
AB10000816;Move7416 Ltd;Gerard van Herpen;9M;Silver;PLC;Wholesale;50022959;Active
AB10000817;Ship5633 Ltd;James White;7K;Gold;LLP;Energy;50071727;Active
AB10000818;Trans7093 Ltd;Gerard van Herpen;8L;Platinum;Ltd;Finance;50014419;Blocked
AB10000819;Carry9922 Ltd;Gerard van Herpen;9M;Silver;CIC;Retail;50037126;Blocked
AB10000820;Trans4416 Ltd;Alice Thompson;9M;Gold;Ltd;Wholesale;50088049;Blocked
AB10000821;Move3053 Ltd;Gerard van Herpen;5I;Bronze;Unlimited;Energy;50094070;Active
AB10000822;Move8415 Ltd;Sophie Green;7K;Gold;Unlimited;Retail;50039903;Active
AB10000823;Ship6980 Ltd;Daniel Smith;6J;Platinum;Ltd;Retail;50072609;Blocked
AB10000824;Move7174 Ltd;Emily Lewis;3G;Bronze;LLP;Retail;50069511;Blocked
AB10000825;Carry8898 Ltd;Alice Thompson;4H;Silver;Ltd;Energy;50078668;Active
AB10000826;Trans3222 Ltd;Emily Lewis;8L;Silver;CIC;Finance;50019849;Blocked
AB10000827;Carry5197 Ltd;James White;6J;Bronze;CIC;Technology;50087886;Blocked
AB10000828;Ship6521 Ltd;James White;9M;Bronze;Ltd;Technology;50066257;Active
AB10000829;Trans1569 Ltd;Emily Lewis;8L;Platinum;Unlimited;Energy;50046986;Blocked
AB10000830;Carry1514 Ltd;Michael Brown;4H;Gold;PLC;Technology;50032004;Active
AB10000831;Ship7615 Ltd;Emma Johnson;0N;Silver;LLP;Wholesale;50080868;Active
AB10000832;Trans2451 Ltd;Emily Lewis;5I;Bronze;Ltd;Energy;50061775;Blocked
AB10000833;Carry8454 Ltd;James White;5I;Platinum;PLC;Healthcare;50044799;Active
AB10000834;Carry2923 Ltd;Sophie Green;2F;Platinum;LLP;Education;50002703;Active
AB10000835;Move8807 Ltd;Gerard van Herpen;5I;Bronze;Unlimited;Healthcare;50047622;Blocked
AB10000836;Trans4835 Ltd;Sophie Green;5I;Bronze;LLP;Energy;50066671;Active
AB10000837;Ship1036 Ltd;Emily Lewis;8L;Gold;CIC;Healthcare;50079172;Active
AB10000838;Move8429 Ltd;Daniel Smith;6J;Silver;PLC;Wholesale;50050638;Active
AB10000839;Carry3013 Ltd;Daniel Smith;1E;Gold;LLP;Retail;50053707;Blocked
AB10000840;Move6269 Ltd;Michael Brown;9M;Platinum;LLP;Finance;50079429;Active
AB10000841;Move3908 Ltd;James White;3G;Silver;LLP;Wholesale;50069832;Active
AB10000842;Ship2162 Ltd;Emily Lewis;7K;Silver;LLP;Education;50020069;Active
AB10000843;Trans8815 Ltd;Daniel Smith;7K;Gold;CIC;Manufacturing;50046535;Active
AB10000844;Carry3999 Ltd;Gerard van Herpen;8L;Bronze;Ltd;Finance;50011137;Active
AB10000845;Move9320 Ltd;Michael Brown;9M;Gold;Ltd;Wholesale;50002852;Active
AB10000846;Move6385 Ltd;Daniel Smith;2F;Bronze;PLC;Manufacturing;50095906;Blocked
AB10000847;Carry1881 Ltd;Emily Lewis;3G;Silver;CIC;Education;50043254;Blocked
AB10000848;Ship2228 Ltd;Emily Lewis;1E;Bronze;CIC;Retail;50053045;Active
AB10000849;Ship4062 Ltd;Daniel Smith;9M;Platinum;CIC;Education;50078394;Blocked
AB10000850;Carry5214 Ltd;Michael Brown;2F;Silver;Unlimited;Wholesale;50070934;Active
AB10000851;Carry5567 Ltd;Michael Brown;8L;Bronze;LLP;Retail;50043600;Active
AB10000852;Carry1157 Ltd;Gerard van Herpen;0N;Gold;Unlimited;Manufacturing;50018637;Active
AB10000853;Carry6094 Ltd;Sophie Green;9M;Silver;Unlimited;Retail;50088548;Active
